7zip	26.01
kwayland	6.7.0
kwin-x11	6.7.0
layer-shell-qt	6.7.0
ldns	1.8.4-1
leptonica	1.87.0
less	702
liba52	0.8.0-3
libacl	2.3.2
libacl-glibc	2.3.1
libandroid-execinfo	0.1-3
libandroid-glob	0.6-3
libandroid-posix-semaphore	0.1-4
libandroid-selinux	14.0.0.11-1
libandroid-shmem	0.7
libandroid-spawn	0.3
libandroid-stub	29-1
libandroid-support	29-1
libandroid-sysv-semaphore	0.1-1
libandroid-utimes	0.4
libaom	3.14.1
libarchive	3.8.7
libass	0.17.4-1
libassuan	3.0.2-1
libavif	1.4.2
libblkid	2.42.1
libblkid-glibc	2.40.2-1
libbluray	1.4.1
libbs2b	3.1.0-2
libbsd	0.11.7-2
libbz2	1.0.8-8
libbz2-glibc	1.0.8-3
libc++	29
libcaca	0.99.beta20-3
libcairo	1.18.4-2
libcanberra	0.30-9
libcap	2.69-1
libcap-glibc	2.69-1
libcap-ng	2:0.9.3
libcap-ng-glibc	0.8.5
libcddb	1.3.2-1
libchromaprint	1.6.0-1
libcompiler-rt	21.1.8-2
libcrypt	0.2-6
libcurl	8.20.0
libcurl-glibc	8.12.1
libdav1d	1.5.3
libdb	18.1.40-5
libdb-glibc	18.1.40
libdbusmenu	16.04.0-1
libde265	1.1.1
libdebuginfod-glibc	0.192-1
libdecor	0.2.5
libdisplay-info	0.3.0
libdmtx	0.7.8-1
libdrm	2.4.134
libdvbpsi	1.3.3-1
libdvdnav	7.0.0
libdvdread	7.0.1
libebml	1.4.5-2
libedit	20240517-3.1-1
libei	1.6.0
libelf-glibc	0.192-1
libepoxy	1.5.10-3
libevdev	1.13.6
libevent	2.1.12-3
libevent-glibc	2.1.12
libexpat	2.8.1
libfakekey	0.3-22
libffi	3.5.2
libflac	1.5.0-1
libfyaml	0.9.6-1
libgcrypt	1.11.2-1
libgd	1:2.3.3-7
libgit2	1.9.4
libglvnd	1.7.0-1
libgmp	6.3.0-2
libgmp-glibc	6.3.0-2
libgnutls	3.8.13
libgpg-error	1.58
libgraphite	1.3.15
libheif	1.23.0
libice	1.1.2-1
libiconv	1.18-1
libicu	78.3
libid3tag	0.16.4
libidn	1.44
libidn2	2.3.8-1
